Academic Yr,DegLvl,DegLvlDesc,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Major Short Nm,Student Headcount,Prorated Degrees Awarded Cnt
1983-84,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,123,123
1983-84,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,42,42
1983-84,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Other Chemistry Programs,Chemistry Limited,1,1
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,4,4
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,78,76.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Petroleum Engineering,2,2
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,224,220.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics,1,1
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Geoscience,1,1
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,7,7
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Manufacturing Engineering,2,2
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,22,21
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,23,15.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Mineral Engineering,2,2
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,151,145.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,23,18
1983-84,1,Bachelor,All,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,203,203
1983-84,1,Bachelor,All,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,24,24
1983-84,1,Bachelor,All,Clg of Environmental Design,Clg of Environmental Design,Other Env Design Programs,CED Individual Major,7,7
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,14,13.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,182,170.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,64,62.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,58,53
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,46,44.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,6,5.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Greek,4,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Latin,2,2
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,17,16.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,East Asian Languages,13,11.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,311,294.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,12,11
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,60,46
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,German,Dutch Studies,1,1
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,13,11.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,39,36.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,Italian,4,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,19,18.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Ancnt NE Archae & Art Hist,3,3
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Studies,5,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Other Arts & Humanities Pgms,Humanities Field Major,27,26.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,47,44
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,42,35.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Scandinavian,Scandinavian,4,3.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,14,11.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,1,1
