Year,Anc Hist & Medit Archae,Applied Science & Tech,Asian Studies,Bioengineering,Biophysics,Biostatistics,Buddhist Studies,Comparative Biochemistry,Computational Biology,Endocrinology,Energy & Resources,Environ Health Sciences,Environmental Planning,Epidemiology,Health Policy,Infec Diseases & Immunity,Jewish Studies,Jurisprudence & Social Policy,Latin American Studies,Logic/Methodology of Science,Medieval Studies,Metabolic Biology,Microbiology,Molecular Toxicology,Neuroscience,Performance Studies,Romance Lang & Lit,Science & Math Education,Sociology & Demography,Vision Science
1990,0,0,0,1,12,1,1,4,0,4,5,3,1,6,0,0,0,1,1,2,0,0,0,0,0,0,1,5,0,0
1991,1,0,0,1,4,5,2,4,0,5,5,4,2,2,0,0,0,9,1,1,0,0,2,0,0,0,3,2,0,0
1992,5,0,0,1,13,1,0,3,0,2,1,3,1,8,0,0,0,2,1,1,0,0,1,0,0,0,2,2,0,0
1993,1,0,1,8,13,5,0,5,0,3,6,4,1,5,0,0,0,3,1,3,0,0,0,0,0,0,0,2,0,0
1994,5,1,0,4,12,1,1,4,0,2,4,1,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,2
1995,2,0,1,4,8,0,1,2,0,3,4,3,2,3,0,0,0,7,3,1,0,0,0,0,0,0,0,1,0,1
1996,0,0,1,4,6,1,1,1,0,2,6,2,0,12,0,0,0,4,1,3,0,0,0,0,0,0,0,3,0,3
1997,2,0,0,0,5,3,0,2,0,0,5,2,0,8,0,0,0,5,0,3,0,0,0,0,0,0,5,3,0,2
1998,3,1,0,2,6,2,3,3,0,1,4,7,3,5,0,0,0,2,0,2,0,0,0,0,0,0,3,1,0,6
1999,2,1,1,5,5,3,0,1,0,2,5,3,2,9,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,5
2000,3,2,0,3,6,3,0,2,0,2,4,3,2,8,0,0,1,5,2,2,0,0,1,0,0,0,0,3,0,2
2001,0,2,0,2,4,5,0,1,0,0,4,4,1,7,0,0,2,3,0,2,0,0,3,0,0,0,4,1,0,5
2002,0,1,1,4,2,1,3,1,0,0,5,0,3,11,0,0,2,4,0,2,0,0,1,0,0,0,4,3,0,8
2003,5,2,0,2,7,2,0,4,0,3,4,4,1,7,0,4,0,2,0,1,0,0,2,0,0,1,1,3,0,3
2004,4,5,1,8,2,3,0,2,0,3,4,5,2,12,0,2,2,6,1,4,0,0,1,0,0,0,1,1,1,7
2005,0,1,0,5,7,3,0,4,0,2,7,4,2,5,0,4,0,3,0,1,0,0,2,0,1,2,3,2,0,3
2006,4,7,1,8,4,5,0,0,0,0,5,1,2,6,0,1,1,2,2,1,0,0,3,0,1,2,0,2,0,4
2007,1,1,1,12,14,4,0,3,0,3,5,3,2,13,0,5,0,7,0,3,0,0,4,1,2,6,1,0,1,6
2008,2,4,0,18,9,5,2,4,0,2,4,1,0,6,0,2,1,5,0,3,0,0,9,4,6,3,1,1,3,7
2009,2,10,0,15,12,3,0,6,0,1,12,4,1,17,0,2,1,5,0,4,0,0,7,2,5,2,3,0,0,3
2010,2,8,0,15,6,5,0,3,0,0,6,3,0,18,0,4,0,2,1,1,0,0,4,0,13,4,4,2,0,6
2011,5,6,0,8,14,8,0,4,0,2,9,5,0,11,0,1,2,11,0,1,2,0,8,0,6,2,1,1,0,5
2012,1,4,1,14,7,3,2,3,0,0,10,3,0,15,0,6,1,6,0,0,0,0,9,4,9,6,2,4,1,4
2013,3,7,0,21,7,5,1,0,0,2,5,3,0,5,0,0,0,6,0,2,0,2,7,3,4,3,3,3,6,8
2014,1,5,0,17,16,6,1,4,0,4,5,8,0,7,0,5,3,2,0,3,1,1,8,2,11,5,1,7,0,3
2015,2,3,0,16,7,6,0,4,0,2,6,5,0,5,0,4,2,5,0,2,0,0,8,2,7,4,0,3,0,11
2016,3,7,0,14,7,7,1,4,0,2,14,4,0,12,0,1,0,8,0,0,0,0,3,0,3,1,4,5,0,3
2017,1,5,0,19,9,5,1,4,1,2,4,8,0,11,4,2,5,4,0,3,0,6,9,0,12,7,0,0,0,3
2018,2,9,0,19,5,3,1,4,1,1,9,3,0,8,8,2,1,3,0,1,3,6,5,1,13,0,2,2,2,6
